sample_id,rep,prompt_version,news_desk,model,vader_compound
60,1,E,Foreign,Claude-Haiku-4.5,0.3612
60,2,E,Foreign,Claude-Haiku-4.5,0.811625
61,0,E,Foreign,Claude-Haiku-4.5,-0.42010000000000003
61,1,E,Foreign,Claude-Haiku-4.5,0.0571666666666667
61,2,E,Foreign,Claude-Haiku-4.5,0.03820000000000001
62,0,E,Foreign,Claude-Haiku-4.5,-0.830475
62,1,E,Foreign,Claude-Haiku-4.5,-0.873
62,2,E,Foreign,Claude-Haiku-4.5,-0.7112
63,0,E,Foreign,Claude-Haiku-4.5,0.09862499999999999
63,1,E,Foreign,Claude-Haiku-4.5,-0.045875
63,2,E,Foreign,Claude-Haiku-4.5,0.5521666666666666
64,0,E,Foreign,Claude-Haiku-4.5,0.9390000000000001
64,1,E,Foreign,Claude-Haiku-4.5,0.5861999999999999
64,2,E,Foreign,Claude-Haiku-4.5,0.9438666666666666
65,0,E,Foreign,Claude-Haiku-4.5,-0.594675
65,1,E,Foreign,Claude-Haiku-4.5,-0.5381750000000001
65,2,E,Foreign,Claude-Haiku-4.5,-0.34099999999999997
66,0,E,Foreign,Claude-Haiku-4.5,-0.07765
66,1,E,Foreign,Claude-Haiku-4.5,0.310575
66,2,E,Foreign,Claude-Haiku-4.5,-0.23435
67,0,E,Foreign,Claude-Haiku-4.5,-0.42169999999999996
67,1,E,Foreign,Claude-Haiku-4.5,-0.4364
67,2,E,Foreign,Claude-Haiku-4.5,-0.341425
68,0,E,Foreign,Claude-Haiku-4.5,0.796
68,1,E,Foreign,Claude-Haiku-4.5,0.386375
68,2,E,Foreign,Claude-Haiku-4.5,0.63095
69,0,E,Foreign,Claude-Haiku-4.5,-0.405975
69,1,E,Foreign,Claude-Haiku-4.5,-0.67285
69,2,E,Foreign,Claude-Haiku-4.5,-0.10695
70,0,E,Foreign,Claude-Haiku-4.5,0.5115000000000001
70,1,E,Foreign,Claude-Haiku-4.5,0.691075
70,2,E,Foreign,Claude-Haiku-4.5,0.385425
71,0,E,Foreign,Claude-Haiku-4.5,-0.25437499999999996
71,1,E,Foreign,Claude-Haiku-4.5,-0.9633
71,2,E,Foreign,Claude-Haiku-4.5,-0.922425
72,0,E,Foreign,Claude-Haiku-4.5,-0.8055999999999999
72,1,E,Foreign,Claude-Haiku-4.5,0.12977499999999997
72,2,E,Foreign,Claude-Haiku-4.5,0.490175
